title,place_id,latitude,longitude,rating,reviews,types,type_ids,h3_r6,h3_r8,h3_r10,h3_r12
Reform Kafé - Vegan Garden Restaurant,ChIJpbnXxpA62jARMk-RGVrJykc,18.7945369,98.9842958,4.7,1567.0,"[""Vegan restaurant"",""Health food restaurant"",""Vegetarian restaurant""]","[""vegan_restaurant"",""health_food_restaurant"",""vegetarian_restaurant""]",866482c6fffffff,886482c68bfffff,8a6482c68a9ffff,8c6482c68a995ff
GooMan's Sports Bar & Restaurant (กูแมนส์/구만),ChIJPx9U6Ko72jARlX_X_t2OBkU,18.802237299999998,98.976277,5.0,7.0,"[""Restaurant""]","[""restaurant""]",866482c6fffffff,886482c6b9fffff,8a6482c6b967fff,8c6482c6b9665ff
Annies Restaurant Bar,ChIJo39oF5g72jARK0nKu4BbmZI,18.790077699999998,98.9900454,4.6,750.0,"[""Restaurant"",""Pub""]","[""restaurant"",""pub""]",866482c6fffffff,886482c689fffff,8a6482c6885ffff,8c6482c6885e7ff
Bangsaen Restaurant บางแสนข้าวต้มปลา,ChIJnVGUjZk72jARRd_P0cAxWfk,18.7858083,98.9801195,5.0,11.0,"[""Restaurant""]","[""restaurant""]",866482c6fffffff,886482c6d7fffff,8a6482c6d687fff,8c6482c6d6841ff
Le QG,ChIJz5Afb2mr_TARLszXkI3-nDo,12.565001299999999,99.95762649999999,4.5,44.0,"[""French restaurant""]","[""french_restaurant""]",86658bb5fffffff,88658bb5d5fffff,8a658bb5d517fff,8c658bb5d512dff
Jalapenos Mexican Grill,ChIJE62E5IGr_TAR1YRsTh4wIBw,12.5455623,99.9520063,4.6,186.0,"[""Mexican restaurant""]","[""mexican_restaurant""]",86658bb5fffffff,88658bb5d9fffff,8a658bb5d967fff,8c658bb5d9619ff
Taba - Homemade Italian food,ChIJu3wTNxGr_TARjvY60I5_bYU,12.5825257,99.95330279999999,4.8,49.0,"[""Pizza delivery"",""Delivery service"",""Pasta shop"",""Pizza Takeout""]","[""pizza_delivery_service"",""delivery_service"",""pasta_shop"",""pizzatakeaway""]",86658bb5fffffff,88658bb581fffff,8a658bb580e7fff,8c658bb580e53ff
"Pho, A seven Hua Hin Vietnamese restaurant",ChIJ5amJlLGr_TAR8fvFLrVJPGA,12.5955917,99.9444307,4.6,17.0,"[""Vietnamese restaurant""]","[""vietnamese_restaurant""]",86658bb5fffffff,88658bb5bdfffff,8a658bb5bc67fff,8c658bb5bc653ff
FATHER TED'S IRISH PUB & STEAKHOUSE,ChIJIV2gELKr_TARr44WENsWnF0,12.5684013,99.9587742,4.3,1654.0,"[""Irish pub"",""Irish restaurant"",""Live music venue"",""Mexican restaurant"",""Sports bar"",""Steak house"",""Thai restaurant""]","[""irish_pub"",""irish_restaurant"",""live_music_venue"",""mexican_restaurant"",""sports_bar"",""steak_house"",""thai_restaurant""]",86658bb5fffffff,88658bb589fffff,8a658bb58967fff,8c658bb589653ff
ร้านพริกขี้หนู สาขาหนองแก,ChIJcb71ttOr_TARiTeDJpviZis,12.538239599999999,99.964491,4.4,268.0,"[""Thai restaurant""]","[""thai_restaurant""]",86658bb47ffffff,88658bb431fffff,8a658bb43147fff,8c658bb431433ff
HITORI SHABU สาขา Siam Paragon,ChIJh4qCVaif4jAR3B7egKQp3Wc,13.7461299,100.53471019999999,4.1,425.0,"[""Shabu-shabu restaurant""]","[""shabu_shabu_restaurant""]",8664a4b17ffffff,8864a4b16bfffff,8a64a4b16af7fff,8c64a4b16ad49ff
